,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,0,5,0,100.0,0,0,0
1,0,0,5,0,100.0,0,0,0
2,0,0,5,0,100.0,0,0,0
3,0,0,5,0,100.0,0,0,0
4,0,0,5,0,100.0,0,0,0
5,0,1,5,0,100.0,0,0,0
6,0,2,5,0,100.0,0,0,0
7,0,2,3,0,99.9,1,0,0
8,0,3,3,0,99.7,3,0,0
9,0,3,2,0,99.4,6,0,0
10,0,4,2,0,99.1,9,0,0
11,0,4,1,0,98.8,12,0,0
12,0,5,1,0,98.4,16,0,0
13,0,5,0,0,98.0,20,0,0
14,0,6,0,0,97.5,25,0,0
15,0,6,0,0,97.0,30,0,0
16,0,7,0,0,96.5,35,0,0
17,0,7,0,0,96.0,40,0,0
18,1,7,1,0,95.5,45,0,0
19,1,8,0,0,95.1,49,0,0
20,1,8,0,0,94.6,54,0,0
21,1,8,0,0,94.1,59,0,0
22,1,9,0,0,93.6,64,0,0
23,1,9,0,0,93.1,69,0,0
24,1,9,0,0,92.6,74,0,0
25,1,9,0,0,92.1,79,0,0
26,1,9,0,0,91.6,84,0,0
27,1,10,0,0,91.1,89,0,0
28,2,9,1,0,90.6,94,0,0
29,2,10,0,0,90.2,98,0,0
30,2,10,0,0,89.7,103,0,0
31,2,10,0,0,89.2,108,0,0
32,2,11,0,0,88.7,113,0,0
33,2,11,0,0,88.2,118,0,0
34,3,10,1,0,87.7,123,0,0
35,3,10,0,0,87.3,127,0,0
36,3,11,0,0,86.8,132,0,0
37,3,11,0,0,86.3,137,0,0
38,4,11,1,0,85.8,142,0,0
39,4,11,0,0,85.4,146,0,0
40,4,11,0,0,84.9,151,0,0
41,4,11,0,0,84.4,156,0,0
42,4,11,0,0,83.9,161,0,0
43,5,11,0,0,83.4,166,0,0
44,5,12,0,0,82.9,171,0,0
45,5,13,0,0,82.4,176,0,0
46,5,13,0,0,81.9,181,0,0
47,5,14,0,0,81.4,186,0,0
48,5,14,0,0,80.9,191,0,0
49,5,15,0,0,80.4,196,0,0
50,5,15,0,0,79.9,201,0,0
51,5,15,0,0,79.4,206,0,0
52,5,16,0,0,78.9,211,0,0
53,6,15,0,0,78.4,216,0,0
54,6,15,0,0,77.9,221,0,0
55,7,14,0,0,77.4,226,0,0
56,7,14,0,0,76.9,231,0,0
57,7,14,0,0,76.4,236,0,0
58,7,14,0,0,75.9,241,0,0
59,7,14,0,0,75.4,246,0,0
60,7,14,0,0,74.9,251,0,0
61,7,15,0,0,74.4,256,0,0
62,7,16,0,0,73.9,261,0,0
63,7,17,0,0,73.4,266,0,0
64,7,17,0,0,72.9,271,0,0
65,7,18,0,0,72.4,276,0,0
66,7,18,0,0,71.9,281,0,0
67,7,18,0,0,71.4,286,0,0
68,7,19,0,0,70.9,291,0,0
69,7,20,0,0,70.4,296,0,0
70,7,21,0,0,69.9,301,0,0
71,7,22,0,0,69.4,306,0,0
72,7,22,0,0,68.9,311,0,0
73,8,21,1,0,68.4,316,0,0
74,8,22,1,0,68.0,320,0,0
75,9,21,1,0,67.6,324,0,0
76,9,21,1,0,67.2,328,0,0
77,9,21,0,0,66.8,332,0,0
78,10,20,1,0,66.3,337,0,0
79,10,20,0,0,65.8,342,0,0
80,10,21,0,0,65.3,347,0,0
81,10,21,0,0,64.8,352,0,0
82,10,21,0,0,64.3,357,0,0
83,10,21,0,0,63.8,362,0,0
84,10,21,0,0,63.3,367,0,0
85,11,20,1,0,62.8,372,0,0
86,11,20,1,0,62.4,376,0,0
87,11,20,0,0,61.9,381,0,0
88,11,21,0,0,61.4,386,0,0
89,11,22,0,0,60.9,391,0,0
90,11,23,0,0,60.4,396,0,0
91,11,24,0,0,59.9,401,0,0
92,12,24,1,0,59.4,406,0,0
93,12,24,0,0,58.9,411,0,0
94,12,25,0,0,58.4,416,0,0
95,12,25,0,0,57.9,421,0,0
96,12,25,0,0,57.4,426,0,0
97,13,25,1,0,56.9,431,0,0
98,14,24,2,0,56.5,435,0,0
99,14,24,0,0,56.2,438,0,0
100,14,25,0,0,55.7,443,0,0
101,14,25,0,0,55.2,448,0,0
102,14,25,0,0,54.7,453,0,0
103,14,26,0,0,54.2,458,0,0
104,14,26,0,0,53.7,463,0,0
105,14,26,0,0,53.2,468,0,0
106,14,26,0,0,52.7,473,0,0
107,14,27,0,0,52.2,478,0,0
108,14,27,0,0,51.7,483,0,0
109,14,27,0,0,51.2,488,0,0
110,14,27,0,0,50.7,493,0,0
111,14,28,0,0,50.2,498,0,0
112,14,28,0,0,49.7,503,0,0
113,14,28,0,0,49.2,508,0,0
114,14,28,0,0,48.7,513,0,0
115,14,28,0,0,48.2,518,0,0
116,14,29,0,0,47.7,523,0,0
117,14,29,0,0,47.2,528,0,0
118,14,29,0,0,46.7,533,0,0
119,14,30,0,0,46.2,538,0,0
120,15,30,1,0,45.7,543,0,0
121,15,30,0,0,45.3,547,0,0
122,17,28,2,0,44.8,552,0,0
123,17,29,0,0,44.3,557,0,0
124,17,30,0,0,43.8,562,0,0
125,17,30,0,0,43.3,567,0,0
126,17,30,0,0,42.8,572,0,0
127,17,30,0,0,42.3,577,0,0
128,17,31,0,0,41.8,582,0,0
129,18,30,1,0,41.3,587,0,0
130,18,30,1,0,40.9,591,0,0
131,18,31,0,0,40.5,595,0,0
132,18,32,0,0,40.0,600,0,0
133,19,31,1,0,39.5,605,0,0
134,19,31,1,0,39.1,609,0,0
135,19,31,0,0,38.7,613,0,0
136,19,32,0,0,38.2,618,0,0
137,19,32,0,0,37.7,623,0,0
138,19,33,0,0,37.2,628,0,0
139,19,33,0,0,36.7,633,0,0
140,19,34,0,0,36.2,638,0,0
141,19,34,0,0,35.7,643,0,0
142,19,34,0,0,35.2,648,0,0
143,19,35,0,0,34.7,653,0,0
144,19,35,0,0,34.2,658,0,0
145,19,36,0,0,33.7,663,0,0
146,19,36,0,0,33.2,668,0,0
147,19,37,0,0,32.7,673,0,0
148,20,36,1,0,32.2,678,0,0
149,20,37,0,0,31.7,683,0,0
150,20,38,0,0,31.2,688,0,0
151,20,38,0,0,30.7,693,0,0
152,20,39,0,0,30.2,698,0,0
153,21,38,1,0,29.7,703,0,0
154,21,38,1,0,29.3,707,0,0
155,21,38,1,0,28.9,711,0,0
156,22,38,2,0,28.5,715,0,0
157,22,39,2,0,28.2,718,0,0
158,22,39,2,0,27.9,721,0,0
159,22,40,2,0,27.6,724,0,0
160,22,41,2,0,27.3,727,0,0
161,22,42,2,0,27.0,730,0,0
162,22,42,2,0,26.7,733,0,0
163,22,43,2,0,26.4,736,0,0
164,22,44,2,0,26.1,739,0,0
165,23,43,3,0,25.8,742,0,0
166,23,43,3,0,25.6,744,0,0
167,23,43,3,0,25.4,746,0,0
168,23,43,3,0,25.2,748,0,0
169,23,44,3,0,25.0,750,0,0
170,23,45,3,0,24.8,752,0,0
171,24,44,4,0,24.6,754,0,0
172,24,45,4,0,24.5,755,0,0
173,24,45,4,0,24.4,756,0,0
174,24,45,4,0,25.4,756,0,0
175,24,45,4,0,26.4,756,0,0
176,24,45,4,0,27.4,756,0,0
177,24,45,4,0,28.4,756,0,0
178,24,46,4,0,29.4,756,0,0
179,24,46,4,0,30.4,756,0,0
180,24,47,4,0,31.4,756,0,0
181,24,48,4,0,32.4,756,0,0
182,24,49,4,0,33.4,756,0,0
183,24,49,4,0,34.4,756,0,0
184,24,49,4,0,35.4,756,0,0
185,24,49,4,0,36.4,756,0,0
186,24,49,5,0,37.4,756,0,0
187,24,49,4,0,37.4,756,0,0
188,24,50,4,0,37.3,757,0,0
189,24,50,4,0,37.2,758,0,0
190,24,51,4,0,37.1,759,0,0
191,24,51,4,0,37.0,760,0,0
192,24,51,4,0,36.9,761,0,0
193,24,51,4,0,36.8,762,0,0
194,24,51,4,0,36.7,763,0,0
195,24,52,4,0,36.6,764,0,0
196,24,53,4,0,36.5,765,0,0
197,24,53,4,0,36.4,766,0,0
198,24,54,4,0,36.3,767,0,0
199,24,55,4,0,36.2,768,0,0
